description,industry,level,size,line_code,value
In developing goals  how often does this business incorporate the requirements of employees - frequently,Telecommunications,2,total,C0603_03,39
In developing goals  how often does this business incorporate the requirements of employees - frequently,Financial & insurance services,1,total,C0603_03,204
In developing goals  how often does this business incorporate the requirements of employees - frequently,Finance,2,total,C0603_03,81
In developing goals  how often does this business incorporate the requirements of employees - frequently,Insurance,2,total,C0603_03,6
In developing goals  how often does this business incorporate the requirements of employees - frequently,Auxiliary,2,total,C0603_03,117
In developing goals  how often does this business incorporate the requirements of employees - frequently,"Rental, hiring, & real estate services",1,total,C0603_03,309
In developing goals  how often does this business incorporate the requirements of employees - frequently,"Professional, scientific, & technical services",1,total,C0603_03,1977
In developing goals  how often does this business incorporate the requirements of employees - frequently,Computer systems design,2,total,C0603_03,333
In developing goals  how often does this business incorporate the requirements of employees - frequently,Other professional scientific,2,total,C0603_03,1647
In developing goals  how often does this business incorporate the requirements of employees - frequently,Administrative & support services,1,total,C0603_03,612
In developing goals  how often does this business incorporate the requirements of employees - frequently,Education & training,1,total,C0603_03,426
In developing goals  how often does this business incorporate the requirements of employees - frequently,Health care & social assistance,1,total,C0603_03,1059
In developing goals  how often does this business incorporate the requirements of employees - frequently,Arts & recreation services,1,total,C0603_03,150
In developing goals  how often does this business incorporate the requirements of employees - frequently,Other services,1,total,C0603_03,402
In developing goals  how often does this business incorporate the requirements of employees - frequently,total,0,total,C0603_03,15357
In developing goals  how often does this business incorporate the requirements of employees - always,total,0,6–19 employees,C0603_04,8727
In developing goals  how often does this business incorporate the requirements of employees - always,total,0,20–49 employees,C0603_04,2334
In developing goals  how often does this business incorporate the requirements of employees - always,total,0,50–99 employees,C0603_04,717
In developing goals  how often does this business incorporate the requirements of employees - always,total,0,100+ employees,C0603_04,672
In developing goals  how often does this business incorporate the requirements of employees - always,"Agriculture, forestry, & fishing",1,total,C0603_04,960
In developing goals  how often does this business incorporate the requirements of employees - always,Agriculture,2,total,C0603_04,591
In developing goals  how often does this business incorporate the requirements of employees - always,Commercial fishing,2,total,C0603_04,18
In developing goals  how often does this business incorporate the requirements of employees - always,Forestry & logging,2,total,C0603_04,99
In developing goals  how often does this business incorporate the requirements of employees - always,"Agriculture, forestry, & fishing support services",2,total,C0603_04,252
In developing goals  how often does this business incorporate the requirements of employees - always,Mining,1,total,C0603_04,36
In developing goals  how often does this business incorporate the requirements of employees - always,Manufacturing,1,total,C0603_04,1188
In developing goals  how often does this business incorporate the requirements of employees - always,"Food, beverage, & tobacco",2,total,C0603_04,213
In developing goals  how often does this business incorporate the requirements of employees - always,"Textile, clothing, footwear, & leather",2,total,C0603_04,60
In developing goals  how often does this business incorporate the requirements of employees - always,Wood & paper product,2,total,C0603_04,105
In developing goals  how often does this business incorporate the requirements of employees - always,"Printing, publishing, & recorded media",2,total,C0603_04,54
In developing goals  how often does this business incorporate the requirements of employees - always,"Petroleum, coal, chemical, & associated product",2,total,C0603_04,141
In developing goals  how often does this business incorporate the requirements of employees - always,Non-metallic mineral product,2,total,C0603_04,60
In developing goals  how often does this business incorporate the requirements of employees - always,Metal product,2,total,C0603_04,228
In developing goals  how often does this business incorporate the requirements of employees - always,Transport and industrial machinery & equipment,2,total,C0603_04,192
In developing goals  how often does this business incorporate the requirements of employees - always,Other machinery & equipment,2,total,C0603_04,51
In developing goals  how often does this business incorporate the requirements of employees - always,Other manufacturing,2,total,C0603_04,84
In developing goals  how often does this business incorporate the requirements of employees - always,"Electricity, gas, water, & waste services",1,total,C0603_04,36
In developing goals  how often does this business incorporate the requirements of employees - always,Construction,1,total,C0603_04,1668
In developing goals  how often does this business incorporate the requirements of employees - always,Wholesale trade,1,total,C0603_04,1017
In developing goals  how often does this business incorporate the requirements of employees - always,Machinery & equipment wholesaling,2,total,C0603_04,330
In developing goals  how often does this business incorporate the requirements of employees - always,Other wholesale trade,2,total,C0603_04,684
In developing goals  how often does this business incorporate the requirements of employees - always,Retail trade,1,total,C0603_04,1473
In developing goals  how often does this business incorporate the requirements of employees - always,Accommodation & food services,1,total,C0603_04,1509
In developing goals  how often does this business incorporate the requirements of employees - always,"Transport, postal, & warehousing",1,total,C0603_04,474
In developing goals  how often does this business incorporate the requirements of employees - always,Information media & telecommunications,1,total,C0603_04,108
In developing goals  how often does this business incorporate the requirements of employees - always,Publishing,2,total,C0603_04,42
In developing goals  how often does this business incorporate the requirements of employees - always,Motion picture,2,total,C0603_04,24
In developing goals  how often does this business incorporate the requirements of employees - always,Telecommunications,2,total,C0603_04,42
In developing goals  how often does this business incorporate the requirements of employees - always,Financial & insurance services,1,total,C0603_04,192
In developing goals  how often does this business incorporate the requirements of employees - always,Finance,2,total,C0603_04,60
In developing goals  how often does this business incorporate the requirements of employees - always,Insurance,2,total,C0603_04,18
In developing goals  how often does this business incorporate the requirements of employees - always,Auxiliary,2,total,C0603_04,114
In developing goals  how often does this business incorporate the requirements of employees - always,"Rental, hiring, & real estate services",1,total,C0603_04,375
In developing goals  how often does this business incorporate the requirements of employees - always,"Professional, scientific, & technical services",1,total,C0603_04,1131
In developing goals  how often does this business incorporate the requirements of employees - always,Computer systems design,2,total,C0603_04,273
In developing goals  how often does this business incorporate the requirements of employees - always,Other professional scientific,2,total,C0603_04,861
In developing goals  how often does this business incorporate the requirements of employees - always,Administrative & support services,1,total,C0603_04,564
In developing goals  how often does this business incorporate the requirements of employees - always,Education & training,1,total,C0603_04,324
In developing goals  how often does this business incorporate the requirements of employees - always,Health care & social assistance,1,total,C0603_04,867
In developing goals  how often does this business incorporate the requirements of employees - always,Arts & recreation services,1,total,C0603_04,183
In developing goals  how often does this business incorporate the requirements of employees - always,Other services,1,total,C0603_04,342
In developing goals  how often does this business incorporate the requirements of employees - always,total,0,total,C0603_04,12450
In developing goals  how often does this business incorporate the requirements of employees - don't know,total,0,6–19 employees,C0603_05,471
In developing goals  how often does this business incorporate the requirements of employees - don't know,total,0,20–49 employees,C0603_05,132
In developing goals  how often does this business incorporate the requirements of employees - don't know,total,0,50–99 employees,C0603_05,45
In developing goals  how often does this business incorporate the requirements of employees - don't know,total,0,100+ employees,C0603_05,39
In developing goals  how often does this business incorporate the requirements of employees - don't know,"Agriculture, forestry, & fishing",1,total,C0603_05,150
In developing goals  how often does this business incorporate the requirements of employees - don't know,Agriculture,2,total,C0603_05,117
In developing goals  how often does this business incorporate the requirements of employees - don't know,Commercial fishing,2,total,C0603_05,0
In developing goals  how often does this business incorporate the requirements of employees - don't know,Forestry & logging,2,total,C0603_05,9
In developing goals  how often does this business incorporate the requirements of employees - don't know,"Agriculture, forestry, & fishing support services",2,total,C0603_05,27
In developing goals  how often does this business incorporate the requirements of employees - don't know,Mining,1,total,C0603_05,3
In developing goals  how often does this business incorporate the requirements of employees - don't know,Manufacturing,1,total,C0603_05,141
In developing goals  how often does this business incorporate the requirements of employees - don't know,"Food, beverage, & tobacco",2,total,C0603_05,36
In developing goals  how often does this business incorporate the requirements of employees - don't know,"Textile, clothing, footwear, & leather",2,total,C0603_05,6
In developing goals  how often does this business incorporate the requirements of employees - don't know,Wood & paper product,2,total,C0603_05,15
In developing goals  how often does this business incorporate the requirements of employees - don't know,"Printing, publishing, & recorded media",2,total,C0603_05,6
In developing goals  how often does this business incorporate the requirements of employees - don't know,"Petroleum, coal, chemical, & associated product",2,total,C0603_05,6
In developing goals  how often does this business incorporate the requirements of employees - don't know,Non-metallic mineral product,2,total,C0603_05,6
In developing goals  how often does this business incorporate the requirements of employees - don't know,Metal product,2,total,C0603_05,36
In developing goals  how often does this business incorporate the requirements of employees - don't know,Transport and industrial machinery & equipment,2,total,C0603_05,24
In developing goals  how often does this business incorporate the requirements of employees - don't know,Other machinery & equipment,2,total,C0603_05,3
In developing goals  how often does this business incorporate the requirements of employees - don't know,Other manufacturing,2,total,C0603_05,6
In developing goals  how often does this business incorporate the requirements of employees - don't know,"Electricity, gas, water, & waste services",1,total,C0603_05,3
In developing goals  how often does this business incorporate the requirements of employees - don't know,Construction,1,total,C0603_05,60
In developing goals  how often does this business incorporate the requirements of employees - don't know,Wholesale trade,1,total,C0603_05,27
In developing goals  how often does this business incorporate the requirements of employees - don't know,Machinery & equipment wholesaling,2,total,C0603_05,15
In developing goals  how often does this business incorporate the requirements of employees - don't know,Other wholesale trade,2,total,C0603_05,9
In developing goals  how often does this business incorporate the requirements of employees - don't know,Retail trade,1,total,C0603_05,93
In developing goals  how often does this business incorporate the requirements of employees - don't know,Accommodation & food services,1,total,C0603_05,27
In developing goals  how often does this business incorporate the requirements of employees - don't know,"Transport, postal, & warehousing",1,total,C0603_05,21
In developing goals  how often does this business incorporate the requirements of employees - don't know,Information media & telecommunications,1,total,C0603_05,9
In developing goals  how often does this business incorporate the requirements of employees - don't know,Publishing,2,total,C0603_05,0
In developing goals  how often does this business incorporate the requirements of employees - don't know,Motion picture,2,total,C0603_05,3
In developing goals  how often does this business incorporate the requirements of employees - don't know,Telecommunications,2,total,C0603_05,6
In developing goals  how often does this business incorporate the requirements of employees - don't know,Financial & insurance services,1,total,C0603_05,3
In developing goals  how often does this business incorporate the requirements of employees - don't know,Finance,2,total,C0603_05,3
In developing goals  how often does this business incorporate the requirements of employees - don't know,Insurance,2,total,C0603_05,3
In developing goals  how often does this business incorporate the requirements of employees - don't know,Auxiliary,2,total,C0603_05,0
In developing goals  how often does this business incorporate the requirements of employees - don't know,"Rental, hiring, & real estate services",1,total,C0603_05,0
In developing goals  how often does this business incorporate the requirements of employees - don't know,"Professional, scientific, & technical services",1,total,C0603_05,36
In developing goals  how often does this business incorporate the requirements of employees - don't know,Computer systems design,2,total,C0603_05,6
In developing goals  how often does this business incorporate the requirements of employees - don't know,Other professional scientific,2,total,C0603_05,30
In developing goals  how often does this business incorporate the requirements of employees - don't know,Administrative & support services,1,total,C0603_05,30
In developing goals  how often does this business incorporate the requirements of employees - don't know,Education & training,1,total,C0603_05,12
In developing goals  how often does this business incorporate the requirements of employees - don't know,Health care & social assistance,1,total,C0603_05,24
In developing goals  how often does this business incorporate the requirements of employees - don't know,Arts & recreation services,1,total,C0603_05,0
In developing goals  how often does this business incorporate the requirements of employees - don't know,Other services,1,total,C0603_05,42
In developing goals  how often does this business incorporate the requirements of employees - don't know,total,0,total,C0603_05,684
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,total,0,6–19 employees,C0700_01,17106
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,total,0,20–49 employees,C0700_01,5073
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,total,0,50–99 employees,C0700_01,1698
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,total,0,100+ employees,C0700_01,1548
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,"Agriculture, forestry, & fishing",1,total,C0700_01,1896
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Agriculture,2,total,C0700_01,1305
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Commercial fishing,2,total,C0700_01,33
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Forestry & logging,2,total,C0700_01,117
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,"Agriculture, forestry, & fishing support services",2,total,C0700_01,447
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Mining,1,total,C0700_01,63
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Manufacturing,1,total,C0700_01,2814
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,"Food, beverage, & tobacco",2,total,C0700_01,693
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,"Textile, clothing, footwear, & leather",2,total,C0700_01,138
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Wood & paper product,2,total,C0700_01,255
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,"Printing, publishing, & recorded media",2,total,C0700_01,138
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,"Petroleum, coal, chemical, & associated product",2,total,C0700_01,255
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Non-metallic mineral product,2,total,C0700_01,105
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Metal product,2,total,C0700_01,465
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Transport and industrial machinery & equipment,2,total,C0700_01,447
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Other machinery & equipment,2,total,C0700_01,114
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Other manufacturing,2,total,C0700_01,201
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,"Electricity, gas, water, & waste services",1,total,C0700_01,102
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Construction,1,total,C0700_01,2484
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Wholesale trade,1,total,C0700_01,2196
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Machinery & equipment wholesaling,2,total,C0700_01,765
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Other wholesale trade,2,total,C0700_01,1428
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Retail trade,1,total,C0700_01,2934
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Accommodation & food services,1,total,C0700_01,3051
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,"Transport, postal, & warehousing",1,total,C0700_01,897
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Information media & telecommunications,1,total,C0700_01,258
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Publishing,2,total,C0700_01,90
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Motion picture,2,total,C0700_01,81
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Telecommunications,2,total,C0700_01,84
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Financial & insurance services,1,total,C0700_01,462
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Finance,2,total,C0700_01,165
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Insurance,2,total,C0700_01,30
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Auxiliary,2,total,C0700_01,267
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,"Rental, hiring, & real estate services",1,total,C0700_01,627
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,"Professional, scientific, & technical services",1,total,C0700_01,2889
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Computer systems design,2,total,C0700_01,633
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Other professional scientific,2,total,C0700_01,2256
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Administrative & support services,1,total,C0700_01,1119
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Education & training,1,total,C0700_01,831
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Health care & social assistance,1,total,C0700_01,1950
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Arts & recreation services,1,total,C0700_01,291
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,Other services,1,total,C0700_01,552
Does this business have a clear vision or mission for the future (eg a vision statement)? yes,total,0,total,C0700_01,25425
Does this business have a clear vision or mission for the future (eg a vision statement)? no,total,0,6–19 employees,C0700_02,13332
Does this business have a clear vision or mission for the future (eg a vision statement)? no,total,0,20–49 employees,C0700_02,2454
Does this business have a clear vision or mission for the future (eg a vision statement)? no,total,0,50–99 employees,C0700_02,456
Does this business have a clear vision or mission for the future (eg a vision statement)? no,total,0,100+ employees,C0700_02,228
Does this business have a clear vision or mission for the future (eg a vision statement)? no,"Agriculture, forestry, & fishing",1,total,C0700_02,1641
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Agriculture,2,total,C0700_02,1050
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Commercial fishing,2,total,C0700_02,24
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Forestry & logging,2,total,C0700_02,117
Does this business have a clear vision or mission for the future (eg a vision statement)? no,"Agriculture, forestry, & fishing support services",2,total,C0700_02,453
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Mining,1,total,C0700_02,45
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Manufacturing,1,total,C0700_02,2349
Does this business have a clear vision or mission for the future (eg a vision statement)? no,"Food, beverage, & tobacco",2,total,C0700_02,390
Does this business have a clear vision or mission for the future (eg a vision statement)? no,"Textile, clothing, footwear, & leather",2,total,C0700_02,156
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Wood & paper product,2,total,C0700_02,249
Does this business have a clear vision or mission for the future (eg a vision statement)? no,"Printing, publishing, & recorded media",2,total,C0700_02,111
Does this business have a clear vision or mission for the future (eg a vision statement)? no,"Petroleum, coal, chemical, & associated product",2,total,C0700_02,186
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Non-metallic mineral product,2,total,C0700_02,78
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Metal product,2,total,C0700_02,477
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Transport and industrial machinery & equipment,2,total,C0700_02,438
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Other machinery & equipment,2,total,C0700_02,105
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Other manufacturing,2,total,C0700_02,159
Does this business have a clear vision or mission for the future (eg a vision statement)? no,"Electricity, gas, water, & waste services",1,total,C0700_02,39
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Construction,1,total,C0700_02,2586
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Wholesale trade,1,total,C0700_02,1002
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Machinery & equipment wholesaling,2,total,C0700_02,204
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Other wholesale trade,2,total,C0700_02,795
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Retail trade,1,total,C0700_02,1665
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Accommodation & food services,1,total,C0700_02,2640
Does this business have a clear vision or mission for the future (eg a vision statement)? no,"Transport, postal, & warehousing",1,total,C0700_02,657
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Information media & telecommunications,1,total,C0700_02,105
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Publishing,2,total,C0700_02,39
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Motion picture,2,total,C0700_02,45
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Telecommunications,2,total,C0700_02,18
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Financial & insurance services,1,total,C0700_02,114
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Finance,2,total,C0700_02,48
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Insurance,2,total,C0700_02,3
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Auxiliary,2,total,C0700_02,63
Does this business have a clear vision or mission for the future (eg a vision statement)? no,"Rental, hiring, & real estate services",1,total,C0700_02,300
Does this business have a clear vision or mission for the future (eg a vision statement)? no,"Professional, scientific, & technical services",1,total,C0700_02,1308
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Computer systems design,2,total,C0700_02,150
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Other professional scientific,2,total,C0700_02,1161
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Administrative & support services,1,total,C0700_02,531
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Education & training,1,total,C0700_02,105
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Health care & social assistance,1,total,C0700_02,585
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Arts & recreation services,1,total,C0700_02,168
Does this business have a clear vision or mission for the future (eg a vision statement)? no,Other services,1,total,C0700_02,627
Does this business have a clear vision or mission for the future (eg a vision statement)? no,total,0,total,C0700_02,16470
To what extent does this business promote a set of company values to its employees? not at all,total,0,6–19 employees,C0800_01,1647
To what extent does this business promote a set of company values to its employees? not at all,total,0,20–49 employees,C0800_01,228
To what extent does this business promote a set of company values to its employees? not at all,total,0,50–99 employees,C0800_01,51
To what extent does this business promote a set of company values to its employees? not at all,total,0,100+ employees,C0800_01,30
To what extent does this business promote a set of company values to its employees? not at all,"Agriculture, forestry, & fishing",1,total,C0800_01,177
To what extent does this business promote a set of company values to its employees? not at all,Agriculture,2,total,C0800_01,108
To what extent does this business promote a set of company values to its employees? not at all,Commercial fishing,2,total,C0800_01,3
To what extent does this business promote a set of company values to its employees? not at all,Forestry & logging,2,total,C0800_01,18
To what extent does this business promote a set of company values to its employees? not at all,"Agriculture, forestry, & fishing support services",2,total,C0800_01,45
To what extent does this business promote a set of company values to its employees? not at all,Mining,1,total,C0800_01,9
To what extent does this business promote a set of company values to its employees? not at all,Manufacturing,1,total,C0800_01,246
To what extent does this business promote a set of company values to its employees? not at all,"Food, beverage, & tobacco",2,total,C0800_01,69
To what extent does this business promote a set of company values to its employees? not at all,"Textile, clothing, footwear, & leather",2,total,C0800_01,18
To what extent does this business promote a set of company values to its employees? not at all,Wood & paper product,2,total,C0800_01,27
To what extent does this business promote a set of company values to its employees? not at all,"Printing, publishing, & recorded media",2,total,C0800_01,12
To what extent does this business promote a set of company values to its employees? not at all,"Petroleum, coal, chemical, & associated product",2,total,C0800_01,18
To what extent does this business promote a set of company values to its employees? not at all,Non-metallic mineral product,2,total,C0800_01,12
To what extent does this business promote a set of company values to its employees? not at all,Metal product,2,total,C0800_01,54
To what extent does this business promote a set of company values to its employees? not at all,Transport and industrial machinery & equipment,2,total,C0800_01,18
To what extent does this business promote a set of company values to its employees? not at all,Other machinery & equipment,2,total,C0800_01,6
To what extent does this business promote a set of company values to its employees? not at all,Other manufacturing,2,total,C0800_01,12
To what extent does this business promote a set of company values to its employees? not at all,"Electricity, gas, water, & waste services",1,total,C0800_01,6
To what extent does this business promote a set of company values to its employees? not at all,Construction,1,total,C0800_01,264
To what extent does this business promote a set of company values to its employees? not at all,Wholesale trade,1,total,C0800_01,204
To what extent does this business promote a set of company values to its employees? not at all,Machinery & equipment wholesaling,2,total,C0800_01,30
To what extent does this business promote a set of company values to its employees? not at all,Other wholesale trade,2,total,C0800_01,171
To what extent does this business promote a set of company values to its employees? not at all,Retail trade,1,total,C0800_01,186
To what extent does this business promote a set of company values to its employees? not at all,Accommodation & food services,1,total,C0800_01,348
To what extent does this business promote a set of company values to its employees? not at all,"Transport, postal, & warehousing",1,total,C0800_01,51
To what extent does this business promote a set of company values to its employees? not at all,Information media & telecommunications,1,total,C0800_01,9
To what extent does this business promote a set of company values to its employees? not at all,Publishing,2,total,C0800_01,3
To what extent does this business promote a set of company values to its employees? not at all,Motion picture,2,total,C0800_01,6
To what extent does this business promote a set of company values to its employees? not at all,Telecommunications,2,total,C0800_01,0
To what extent does this business promote a set of company values to its employees? not at all,Financial & insurance services,1,total,C0800_01,9
To what extent does this business promote a set of company values to its employees? not at all,Finance,2,total,C0800_01,6
To what extent does this business promote a set of company values to its employees? not at all,Insurance,2,total,C0800_01,0
To what extent does this business promote a set of company values to its employees? not at all,Auxiliary,2,total,C0800_01,6
To what extent does this business promote a set of company values to its employees? not at all,"Rental, hiring, & real estate services",1,total,C0800_01,27
To what extent does this business promote a set of company values to its employees? not at all,"Professional, scientific, & technical services",1,total,C0800_01,174
To what extent does this business promote a set of company values to its employees? not at all,Computer systems design,2,total,C0800_01,9
To what extent does this business promote a set of company values to its employees? not at all,Other professional scientific,2,total,C0800_01,168
To what extent does this business promote a set of company values to its employees? not at all,Administrative & support services,1,total,C0800_01,117
To what extent does this business promote a set of company values to its employees? not at all,Education & training,1,total,C0800_01,3
To what extent does this business promote a set of company values to its employees? not at all,Health care & social assistance,1,total,C0800_01,42
To what extent does this business promote a set of company values to its employees? not at all,Arts & recreation services,1,total,C0800_01,12
To what extent does this business promote a set of company values to its employees? not at all,Other services,1,total,C0800_01,69
To what extent does this business promote a set of company values to its employees? not at all,total,0,total,C0800_01,1956
To what extent does this business promote a set of company values to its employees? a little amount,total,0,6–19 employees,C0800_02,4248
To what extent does this business promote a set of company values to its employees? a little amount,total,0,20–49 employees,C0800_02,1026
To what extent does this business promote a set of company values to its employees? a little amount,total,0,50–99 employees,C0800_02,252
To what extent does this business promote a set of company values to its employees? a little amount,total,0,100+ employees,C0800_02,126
To what extent does this business promote a set of company values to its employees? a little amount,"Agriculture, forestry, & fishing",1,total,C0800_02,645
To what extent does this business promote a set of company values to its employees? a little amount,Agriculture,2,total,C0800_02,480
To what extent does this business promote a set of company values to its employees? a little amount,Commercial fishing,2,total,C0800_02,12
To what extent does this business promote a set of company values to its employees? a little amount,Forestry & logging,2,total,C0800_02,21
To what extent does this business promote a set of company values to its employees? a little amount,"Agriculture, forestry, & fishing support services",2,total,C0800_02,132
To what extent does this business promote a set of company values to its employees? a little amount,Mining,1,total,C0800_02,12
To what extent does this business promote a set of company values to its employees? a little amount,Manufacturing,1,total,C0800_02,876
To what extent does this business promote a set of company values to its employees? a little amount,"Food, beverage, & tobacco",2,total,C0800_02,171
To what extent does this business promote a set of company values to its employees? a little amount,"Textile, clothing, footwear, & leather",2,total,C0800_02,42
To what extent does this business promote a set of company values to its employees? a little amount,Wood & paper product,2,total,C0800_02,117
To what extent does this business promote a set of company values to its employees? a little amount,"Printing, publishing, & recorded media",2,total,C0800_02,60
To what extent does this business promote a set of company values to its employees? a little amount,"Petroleum, coal, chemical, & associated product",2,total,C0800_02,60
To what extent does this business promote a set of company values to its employees? a little amount,Non-metallic mineral product,2,total,C0800_02,36
To what extent does this business promote a set of company values to its employees? a little amount,Metal product,2,total,C0800_02,102
To what extent does this business promote a set of company values to its employees? a little amount,Transport and industrial machinery & equipment,2,total,C0800_02,189
To what extent does this business promote a set of company values to its employees? a little amount,Other machinery & equipment,2,total,C0800_02,39
To what extent does this business promote a set of company values to its employees? a little amount,Other manufacturing,2,total,C0800_02,66
To what extent does this business promote a set of company values to its employees? a little amount,"Electricity, gas, water, & waste services",1,total,C0800_02,9
To what extent does this business promote a set of company values to its employees? a little amount,Construction,1,total,C0800_02,417
To what extent does this business promote a set of company values to its employees? a little amount,Wholesale trade,1,total,C0800_02,465
To what extent does this business promote a set of company values to its employees? a little amount,Machinery & equipment wholesaling,2,total,C0800_02,126
To what extent does this business promote a set of company values to its employees? a little amount,Other wholesale trade,2,total,C0800_02,339
To what extent does this business promote a set of company values to its employees? a little amount,Retail trade,1,total,C0800_02,777
To what extent does this business promote a set of company values to its employees? a little amount,Accommodation & food services,1,total,C0800_02,780
To what extent does this business promote a set of company values to its employees? a little amount,"Transport, postal, & warehousing",1,total,C0800_02,198
To what extent does this business promote a set of company values to its employees? a little amount,Information media & telecommunications,1,total,C0800_02,39
To what extent does this business promote a set of company values to its employees? a little amount,Publishing,2,total,C0800_02,9
To what extent does this business promote a set of company values to its employees? a little amount,Motion picture,2,total,C0800_02,12
To what extent does this business promote a set of company values to its employees? a little amount,Telecommunications,2,total,C0800_02,18
To what extent does this business promote a set of company values to its employees? a little amount,Financial & insurance services,1,total,C0800_02,90
To what extent does this business promote a set of company values to its employees? a little amount,Finance,2,total,C0800_02,15
To what extent does this business promote a set of company values to its employees? a little amount,Insurance,2,total,C0800_02,3
To what extent does this business promote a set of company values to its employees? a little amount,Auxiliary,2,total,C0800_02,78
To what extent does this business promote a set of company values to its employees? a little amount,"Rental, hiring, & real estate services",1,total,C0800_02,117
To what extent does this business promote a set of company values to its employees? a little amount,"Professional, scientific, & technical services",1,total,C0800_02,489
To what extent does this business promote a set of company values to its employees? a little amount,Computer systems design,2,total,C0800_02,141
To what extent does this business promote a set of company values to its employees? a little amount,Other professional scientific,2,total,C0800_02,351
To what extent does this business promote a set of company values to its employees? a little amount,Administrative & support services,1,total,C0800_02,165
To what extent does this business promote a set of company values to its employees? a little amount,Education & training,1,total,C0800_02,78
To what extent does this business promote a set of company values to its employees? a little amount,Health care & social assistance,1,total,C0800_02,207
To what extent does this business promote a set of company values to its employees? a little amount,Arts & recreation services,1,total,C0800_02,69
